"id","Outlying_polar","Skewed_polar","Clumpy_polar","Sparse_polar","Striated_polar","Convex_polar","Skinny_polar","Stringy_polar","Monotonic_polar","Outlying_contour","Skewed_contour","Clumpy_contour","Sparse_contour","Striated_contour","Convex_contour","Skinny_contour","Stringy_contour","Monotonic_contour","No_of_max_ponits","No_of_min_points","diameter","area","perimeter","physiological_length","physiological_width","aspect_ratio","rectangularity","circularity","compactness","NF","Perimeter_ratio_diameter","Perimeter_ratio_length","Perimeter_ratio_lw","No_of_Convex_points","perimeter_convexity","area_convexity","area_ratio_convexity","equivalent_diameter","cx","cy","eccentriciry","contrast","correlation_texture","inverse_difference_moments","entropy","Mean_R_val","Mean_G_val","Mean_B_val","Std_R_val","Std_G_val","Std_B_val","correlation","Shape_label"
1,0,0.464763437963616,0.00874710573707229,0.014514433518985,0.979057591623037,0.000150813242822493,0.572927336543052,1,0.0637675752376005,0,0.475150073906874,0.019406547055891,0.0140976640771145,0.968911917098446,0.000310421841487143,0.733644279667127,1,0.0189703505324037,1,2,1086.393115,641152,3330.189153,1081,859,0.794634598,0.690465755,0.726495723,17.29723964,1.264718411,3.065362903,3.876820899,1.716592347,68,0.890421944,0.014397522,0.985806825,903.5154014,820.2633287,582.0648023,0.707286169,69.99989114,0.99622643,0.372580075,9.612084455,150.813211,170.632615,173.2549019,115.3226551,88.4786055,90.24106941,-0.13956054,"Diamond"
2,0,0.485738463260984,0.0173151293623691,0.014523044714714,0.958333333333333,0.00010325273725877,0.794926864327284,0.984293483015017,0.11255095196627,0,0.495215163180886,0.0127921279212792,0.0142644535073636,0.969387755102041,0.000266537401311954,0.525631828410826,1,0.0324897862925908,1,2,1121.302814,615844.5,3377.436846,1121,822,0.733273863,0.668334126,0.678432208,18.52266221,1.364115345,3.012064899,4.108803949,1.738258799,75,0.866288004,0.018313064,0.982016273,885.5041337,794.1033968,549.1504574,0.689795589,80.61300537,0.995221698,0.377983507,9.578234833,118.239815,181.2432344,159.7973519,118.638008,81.71060548,96.70698842,-0.182890442,"Diamond"
3,0,0.501245269906942,0.012500353898188,0.0142650285154027,0.931707317073171,0.000630407228834438,0.750695057709394,0.970590147927644,0.237210133551642,0,0.497752227747603,0.015646074993256,0.0143865829944534,0.961352657004831,0.00080869291788951,0.674050951063964,0.985437123663325,0.000299472009629602,2,1,982.6031752,530362,3098.375883,981,784,0.799184506,0.689584243,0.694247072,18.10071821,1.253320377,3.153232109,3.952010055,1.755453758,72,0.863868518,0.012507495,0.98764701,821.752926,861.184614,544.9285938,0.674518544,63.39737886,0.996215986,0.403826347,8.962931207,106.5327015,189.9617357,151.1134423,120.1376562,82.02515397,104.4794132,0.017792553,"Diamond"
4,0,0.520186067341824,0.027914032859094,0.0145280647667339,0.950738916256158,0.000817729261015207,0.792628865692215,1,0.187380849823578,0,0.503766663281435,0.013141268637857,0.0142693841744551,0.961352657004831,0.000827532032612225,0.761975428539497,0.985437123663325,6.90273895662715e-06,1,2,1072.156705,688295,3465.027685,1065,903,0.847887324,0.715710282,0.720395616,17.44370779,1.18732747,3.231829516,3.837239961,1.760684799,81,0.869929441,0.009885296,0.990211466,936.1433717,853.6564551,552.9908863,0.580303995,68.0209738,0.99662063,0.405913781,9.189744282,92.8011148,167.6256066,155.6131306,116.2858539,92.19866108,98.64733024,0.002195928,"Diamond"
5,0,0.486943477232298,0.0173893488356136,0.014268816790959,0.969072164948454,0.000248076116364128,0.800155062714497,1,0.235916520123539,0,0.531886538271397,0.0210080658918738,0.0145274870975032,0.965853658536585,0.000330385762151894,0.585304365959146,1,0.000813160654943095,2,3,1153.697101,727966,3598.934319,1150,918,0.79826087,0.689557639,0.706273836,17.79249063,1.256750654,3.119479383,3.920407755,1.74029706,92,0.874276257,0.018706918,0.981636605,962.7435268,834.6815952,540.7552924,0.664498925,57.90571283,0.997318829,0.409547219,8.995139204,76.19614282,159.8480895,150.596426,113.6975692,95.46146817,99.38473779,-0.027970231,"Diamond"
6,0,0.492329653502908,0.0149423538261901,0.014272100070904,0.974093264248705,0.000499618296718893,0.482946040841472,1,0.221396779640174,0,0.512764022403336,0.0255840254343114,0.0145308298979427,0.946078431372549,0.00111613959342064,0.720632327897993,0.985221915731422,0.000258387425444636,2,1,1134.287442,693708,3448.438933,1133,893,0.788172992,0.685638718,0.733063317,17.14227178,1.270198703,3.040180828,3.861633744,1.702092267,83,0.88924109,0.011509165,0.988621788,939.8172472,828.71473,613.6393676,0.645070867,52.65996575,0.996971274,0.405498305,9.191943583,121.0941303,172.0637126,158.9766022,115.1663342,84.99546812,93.20973217,-0.015711725,"Diamond"
7,0,0.493086806638257,0.0112996266754997,0.0145512368630655,0.948186528497409,0.000667119485920522,0.631128427784937,1,0.303978548509966,0,0.502684052312818,0.012293500163843,0.0143963405158831,0.975369458128079,0.000606245686580087,0.576893267301144,1,6.09658837708251e-05,1,2,1007.41749,579327,3174.365778,1008,836,0.829365079,0.68747508,0.722469798,17.39362759,1.205044845,3.150993315,3.797088251,1.721456496,76,0.877963416,0.008026555,0.992037358,858.8492567,832.5721004,545.21893,0.587185905,45.78758013,0.997587222,0.437157203,8.768992788,137.2080178,177.3789518,174.1806733,121.0022968,89.31791537,93.57867299,-0.008198703,"Diamond"
8,0,0.503935765821278,0.0100298009046239,0.0144430272715225,0.964646464646465,0.000810079710583598,0.741828338732284,1,0.149872418555134,0,0.501804081639902,0.0110319466789244,0.0147988619202395,0.947089947089947,0.000881940840812954,0.78692034967384,0.968087553163583,0.00554836146564699,3,3,1191.466323,684676,3520.875445,1187,849,0.715248526,0.679401804,0.694054614,18.10573745,1.403376117,2.955077601,4.147085329,1.72931014,83,0.874422421,0.009413212,0.990674571,933.6790447,801.3405368,538.0394188,0.717076603,55.98162707,0.997204597,0.419172157,9.011788928,118.7203148,166.4888481,163.5666486,120.2496598,91.94474964,95.82851041,0.075896208,"Diamond"
9,0,0.525889216798107,0.00707324611986697,0.0145085921127726,0.948598130841122,0.000693118717472876,0.61869819166293,1,0.12033612847223,0,0.550333260843403,0.0213580823173408,0.0142670528954935,0.954545454545455,0.000848417701752292,0.638760383727317,0.986301561586652,0.00122262195676976,5,6,998.528918,587397,3180.708924,995,851,0.855276382,0.693711802,0.729614966,17.22329065,1.173359481,3.185394901,3.737613306,1.723027586,77,0.879087326,0.013722406,0.98646335,864.8104352,793.1779168,562.6983446,0.588228489,50.57603078,0.997326186,0.431313714,8.869470188,126.7315339,178.6576483,166.7826804,121.3718524,88.95568583,98.38469674,0.034733711,"Diamond"
10,0,0.501767835834792,0.00430854320186376,0.0145216315028714,0.935960591133005,0.001704324178908,0.676617265520921,0.970299,0.180057540399236,0,0.515714221212576,0.0128635417524701,0.0143670503015556,0.966346153846154,0.000549744673484043,0.56676960788683,0.985507473504361,0.000400588317634639,2,3,1163.295749,658429.5,3556.809429,1162,868,0.746987952,0.652804933,0.654030424,19.21374014,1.340202476,3.057528089,4.097706716,1.752122872,64,0.864609912,0.01429538,0.985906098,915.6082551,772.7455752,525.2521592,0.777702897,46.27112481,0.997512197,0.425547824,8.987367967,128.5393657,171.0043868,165.4180343,116.4373428,89.32237823,94.59382363,0.020259504,"Diamond"
